Timestamp,Date,Wormhole,Meson,Orbiter Finance,Stargate,deBridge,Squid (Powered by Axelar),Eywa,Synapse,Hyperlane,Symbiosis,Celer cBridge,rhino.fi,Layerswap,Allbridge Core,RetroBridge,Owlto,Nitro (by Router Protocol),yBridge by xSync Network,Satellite (Powered by Axelar),WanBridge,zkBridge,MeMeBridge,Allbridge Classic,CometBridge,MiniBridge,Fuse Bridge,Crowdswap,Connext,Helixbox,Bunnyfi,pNetwork,Interport Finance,Total
1666656000,2022-10-25,,,,,,,,1076171.988227419,,,2428765.4731613416,,,,,,,,,,,,,,,,,,,,,,3504937.4613887607
1666742400,2022-10-26,,,,,,,,419105.7633995601,,,3348735.4128433634,,,,,,,,,,,,,,,,,,,,,,3767841.1762429234
1666828800,2022-10-27,,,,,,,,381586.4819096774,,,3337897.855219476,,,,,,,,,,,,,,,,,,,,,,3719484.3371291533
1666915200,2022-10-28,,,,,,,,715493.1139676966,,,3349230.0201857686,,,,,,,,,,,,,,,,,,,,,,4064723.1341534653
1667001600,2022-10-29,,,,,,,,539499.6521233694,,,3377389.874458211,,,,,,,,,,,,,,,,,,,,,,3916889.5265815803
1667088000,2022-10-30,,,,,,,,406870.05330161843,,,2249460.0870328285,,,,,,,,,,,,,,,,,,,,,,2656330.140334447
1667174400,2022-10-31,,,,,,,,388309.767079241,,,4049369.1237496478,,,,,,,,,,,,,,,,,,,,,,4437678.890828889
1667260800,2022-11-01,,,,4533.467047141777,,,,611370.6162429475,,,3043057.6798433475,,,,,,,,,,,,,,,,,,,,,,3658961.763133437
1667347200,2022-11-02,,,,18062.661214545147,,,,732265.224561698,,,2699090.4318297487,,,,,,,,,,,,,,,,,,,,,,3449418.317605992
1667433600,2022-11-03,,,,11476.267664056242,,,,829414.3427784424,,,376454.94250089105,,,,,,,,,,,,,,,,,,,,,,1217345.5529433899
1667520000,2022-11-04,,,,11521.187057136845,,,,635346.621479693,,,3981989.928229114,,,,,,,,,,,,,,,,,,,,,,4628857.7367659435
1667606400,2022-11-05,,,,32303.799510099707,,,,1172694.2394539723,,,2814491.217070873,,,,,,,,,,,,,,,,,,,,,,4019489.256034945
1667692800,2022-11-06,,,,19552.748451604963,,,,309711.8491901953,,,2347861.691955784,,,,,,,,,,,,,,,,,,,,,,2677126.289597584
1667779200,2022-11-07,,,,18664.1793706085,,,,597236.833706806,,,3347878.8904846264,,,,,,,,,,,,,,,,,,,,,,3963779.903562041
1667865600,2022-11-08,,,,43938.06791610012,,,,1528870.6365745114,,,3446118.1774161807,,,,,,,,,,,,,,,,,,,,,,5018926.8819067925
1667952000,2022-11-09,,,,42980.93410456041,,,,1849299.8995308296,,,3950179.6479250477,,,,,,,,,,,,,,,,,,,,,,5842460.481560438
1668038400,2022-11-10,,,,28149.429380066216,,,,1932114.0108448984,,,7723390.936797527,,,,,,,,,,,,,,,,,,,,,,9683654.377022492
1668124800,2022-11-11,,,,16017.35137760582,,,,676995.042868307,,,2329128.264150832,,,,,,,,,,,,,,,,,,,,,,3022140.6583967446
1668211200,2022-11-12,,,,3847.0333625420817,,,,283943.1776264403,,,233959.94210473038,,,,,,,,,,,,,,,,,,,,,,521750.15309371275
1668297600,2022-11-13,,,,3446.2115652150765,,,,833239.1935822703,,,3465753.2172658453,,,,,,,,,,,,,,,,,,,,,,4302438.622413331
1668384000,2022-11-14,,,,6359.05594875158,,,,551268.3431492303,,,3411540.0850972305,,,,,,,,,,,,,,,,,,,,,,3969167.4841952124
1668470400,2022-11-15,,,,19174.124033087108,,,,378192.74444019026,,,2691530.0839736876,,,,,,,,,,,,,,,,,,,,,,3088896.952446965
1668556800,2022-11-16,,,,2843.531524632478,,,,623661.3355897826,,,2987389.9540327117,,,,,,,,,,,,,,,,,,,,,,3613894.8211471266
1668643200,2022-11-17,,,,8002.338773218061,,,,1442249.3478362716,,,3244824.9843232534,,,,,,,,,,,,,,,,,,,,,,4695076.670932743
1668729600,2022-11-18,,,,8873.114382951444,,,,974867.3788231197,,,3098366.3437216943,,,,,,,,,,,,,,,,,,,,,,4082106.8369277655
1668816000,2022-11-19,,,,4754.841332281003,,,,239616.97049314473,,,1364781.3811895074,,,,,,,,,,,,,,,,,,,,,,1609153.1930149333
1668902400,2022-11-20,,,,2945.99444812313,,,,3866.160404843522,,,2251837.251711301,,,,,,,,,,,,,,,,,,,,,,2258649.406564268
1668988800,2022-11-21,,,,22828.178207529923,,,,1004148.0777146858,,,2813142.436154088,,,,,,,,,,,,,,,,,,,,,,3840118.692076304
1669075200,2022-11-22,,,,3210.6292517063375,,,,430180.1606394149,,,2716699.598855836,,,,,,,,,,,,,,,,,,,,,,3150090.3887469573
1669161600,2022-11-23,,,,1000295.1943687666,,,,408977.509394794,,,3561427.7488519913,,,,,,,,,,,,7852.103086654633,,,,,,,,,,4978552.555702207
1669248000,2022-11-24,,,,5860230.962659858,,,,660834.0587715473,,,1306535.8407340585,,,,,,,,,,,,1104.5232773176833,,,,,,,,,,7828705.385442782
1669334400,2022-11-25,,,,6592263.467262501,,,,643933.4714782442,,,1435101.0121349974,,,,,,,,,,,,18519.575468978135,,,,,,,,,,8689817.52634472
1669420800,2022-11-26,,,,1690496.4551550355,,,,460326.93060261675,,,1561139.2055233312,,,,,,,,,,,,6581.9499622096755,,,,,,,,,,3718544.5412431927
1669507200,2022-11-27,,,,768628.6005082633,,,,927218.5977223497,,,1696837.4731635563,,,,,,,,,,,,23864.10637017164,,,,,,,,,,3416548.777764341
1669593600,2022-11-28,,,,3198745.949004579,,,,825643.5727237093,,,1666394.2203323508,,,,,,,,,,,,15045.376034660021,,,,,,,,,,5705829.118095299
